start_num: 1790160000, produced_num: 772, mailed_num: 762
start_num: 1790161000, produced_num: 883, mailed_num: 876
start_num: 1790162000, produced_num: 723, mailed_num: 675
start_num: 1790163000, produced_num: 766, mailed_num: 717
start_num: 1790164000, produced_num: 659, mailed_num: 624
start_num: 1790165000, produced_num: 789, mailed_num: 746
start_num: 1790166000, produced_num: 573, mailed_num: 554
start_num: 1790167000, produced_num: 752, mailed_num: 706
start_num: 1790168000, produced_num: 754, mailed_num: 712
start_num: 1790169000, produced_num: 666, mailed_num: 543
start_num: 1790170000, produced_num: 486, mailed_num: 367
start_num: 1790171000, produced_num: 622, mailed_num: 449
start_num: 1790172000, produced_num: 563, mailed_num: 346
start_num: 1790173000, produced_num: 390, mailed_num: 264
start_num: 1790174000, produced_num: 248, mailed_num: 88
start_num: 1790175000, produced_num: 327, mailed_num: 190
start_num: 1790176000, produced_num: 213, mailed_num: 125
start_num: 1790177000, produced_num: 65, mailed_num: 34
start_num: 1790178000, produced_num: 53, mailed_num: 18
start_num: 1790179000, produced_num: 53, mailed_num: 20
start_num: 1790180000, produced_num: 44, mailed_num: 25
start_num: 1790181000, produced_num: 2, mailed_num: 1
start_num: 1790182000, produced_num: 25, mailed_num: 22
start_num: 1790183000, produced_num: 30, mailed_num: 29
start_num: 1790184000, produced_num: 8, mailed_num: 4
start_num: 1790185000, produced_num: 10, mailed_num: 8
start_num: 1790186000, produced_num: 8, mailed_num: 8
start_num: 1790187000, produced_num: 7, mailed_num: 6
start_num: 1790188000, produced_num: 5, mailed_num: 4
start_num: 1790189000, produced_num: 2, mailed_num: 2
