start_num: 1790170000, produced_rate: 48.6%, mailed_rate: 36.7%
start_num: 1790171000, produced_rate: 62.2%, mailed_rate: 44.9%
start_num: 1790172000, produced_rate: 56.3%, mailed_rate: 34.6%
start_num: 1790173000, produced_rate: 39.0%, mailed_rate: 26.4%
start_num: 1790174000, produced_rate: 24.8%, mailed_rate: 8.8%
start_num: 1790175000, produced_rate: 32.7%, mailed_rate: 19.0%
start_num: 1790176000, produced_rate: 21.3%, mailed_rate: 12.5%
start_num: 1790177000, produced_rate: 6.5%, mailed_rate: 3.4%
start_num: 1790178000, produced_rate: 5.3%, mailed_rate: 1.8%
start_num: 1790179000, produced_rate: 5.3%, mailed_rate: 2.0%
start_num: 1790180000, produced_rate: 4.4%, mailed_rate: 2.5%
start_num: 1790181000, produced_rate: 0.2%, mailed_rate: 0.1%
start_num: 1790182000, produced_rate: 2.5%, mailed_rate: 2.2%
start_num: 1790183000, produced_rate: 6.0%, mailed_rate: 5.9%
start_num: 1790184000, produced_rate: 0.8%, mailed_rate: 0.4%
start_num: 1790185000, produced_rate: 1.0%, mailed_rate: 0.8%
start_num: 1790186000, produced_rate: 0.8%, mailed_rate: 0.8%
start_num: 1790187000, produced_rate: 0.7%, mailed_rate: 0.6%
start_num: 1790188000, produced_rate: 0.5%, mailed_rate: 0.4%
start_num: 1790189000, produced_rate: 0.2%, mailed_rate: 0.2%
